"file","from","to","label","dF","vtl","F1","F2","F3","F4","f1"
"604_ut_anger_81_m_roar-at-a-puma.wav",110,351,"",798,22.19,480,1153,1921,2851,795
"604_ut_anger_81_m_roar-at-a-puma.wav",1394,1522,"",NA,NA,449,1181,1738,2962,NA
